date,ozone,smog,air pollution,haze,soot,ozone.1,code orange,code red,O3,smoke,ozone.2,cough,wheezing,snoring,asthma,ozone.3,difficulty breathing,lung irritation,COPD,inhaler,ozone.4,bronchiolitis,irregular heartbeat,chest pain,heart murmur,DATE,O3_M8_SCH1
4/20/07,0,0,25.2014652,0,0,0,0,0,0,27.01341553,19.83199541,24.5500753,0,0,38.83978676,0,25.39534884,,23.48375029,0,0,0,0,17.75117127,0,4/20/07,56.76
4/21/07,41.12340813,0,0,0,0,43.65168539,0,0,0,60.38292884,47.2190367,58.45256024,0,0,31.44173214,70.23724138,0,,0,0,44.44335938,0,0,0,0,4/21/07,63.09
4/22/07,0,0,0,0,0,19.20674157,0,0,0,58.7939044,31.16456422,38.57868976,0,0,30.51697531,34.26206897,0,,0,0,29.42871094,0,0,0,0,4/22/07,65.44
4/23/07,46.42965434,0,21.42124542,0,0,10.47640449,0,0,0,49.25975774,16.99885321,22.21197289,0,19.02880288,16.6456229,59.95862069,0,,43.48842647,0,16.81640625,0,0,0,0,4/23/07,58.41
4/24/07,46.42965434,0,21.42124542,0,0,13.96853933,0,0,0,34.95853775,34.94208716,21.04292169,20.10461538,0,34.21600262,48.82344828,0,,0,0,49.84863281,0,0,16.03331598,17.76623377,4/24/07,56.95
4/25/07,46.42965434,21.63636364,0,0,23.53846154,10.47640449,0,0,0,0,17.94323395,65.46686747,0,0,17.57037972,29.12275862,0,,0,21.62447257,24.62402344,0,0,16.03331598,0,4/25/07,49.72
4/26/07,22.55154639,0,21.42124542,18.96891913,0,17.46067416,0,0,0,27.01341553,0,65.46686747,0,0,34.21600262,0,0,,21.74421323,0,16.21582031,0,0,0,17.76623377,4/26/07,30.08
4/27/07,25.2046695,0,0,21.20055667,0,13.96853933,0,13.33333333,0,95.34146659,19.83199541,47.9310994,0,22.20027003,28.66746165,21.4137931,0,,0,0,27.62695313,0,0,0,0,4/27/07,52.18
4/28/07,41.12340813,0,0,34.59038194,0,0,0,0,0,61.97195328,31.16456422,0,0,69.77227723,61.03395062,0,0,,38.26981529,0,28.828125,0,0,27.48568454,0,4/28/07,53.61
4/29/07,41.12340813,0,0,0,0,17.46067416,0,0,21.66666667,20.65731776,31.16456422,38.57868976,0,0,30.51697531,70.23724138,0,,39.13958382,0,43.84277344,0,0,0,0,4/29/07,59.41
4/30/07,23.87810794,44.54545455,0,29.01128808,0,15.71460674,0,0,0,34.95853775,17.94323395,32.73343373,0,0,0,0,0,,0,0,16.81640625,0,0,0,18.42424242,4/30/07,73.88
5/1/07,92.85930867,21.63636364,21.42124542,0,0,20.95280899,0,0,0,34.95853775,34.94208716,0,0,0,68.43200524,58.24551724,0,,0,21.62447257,49.24804688,0,0,31.49401353,0,5/1/07,74.52
5/2/07,0,0,22.68131868,20.0847379,0,0,0,0,0,20.65731776,16.99885321,109.8908133,0,0,25.89319117,19.70068966,0,,0,21.62447257,16.21582031,0,0,0,0,5/2/07,66.81
5/3/07,47.75621589,22.90909091,0,20.0847379,0,0,0,0,0,47.6707333,0,44.42394578,0,0,25.89319117,19.70068966,0,,0,0,16.81640625,0,0,0,18.42424242,5/3/07,63.9
5/4/07,23.87810794,22.90909091,22.68131868,0,0,22.6988764,0,0,0,19.06829332,27.38704128,45.59299699,0,21.14311431,36.06551627,29.97931034,25.39534884,,0,0,26.42578125,0,0,16.60593441,0,5/4/07,40.84
5/5/07,0,0,0,31.24292562,0,26.19101124,0,0,0,19.06829332,0,35.07153614,0,0,0,31.69241379,0,,0,0,27.02636719,0,0,0,0,5/5/07,19.68
5/6/07,38.47028502,36.90909091,0,32.35874439,0,0,0,17.33333333,0,38.13658664,28.33142202,106.3836596,0,31.71467147,27.74270483,64.24137931,0,,0,0,0,0,0,51.53565851,0,5/6/07,47.5
5/7/07,22.55154639,0,0,17.85310036,0,0,0,0,11.66666667,30.19146442,16.05447248,61.95971386,0,0,24.04367752,18.84413793,0,,20.00467617,0,0,0,0,0,0,5/7/07,53.87
5/8/07,21.22498484,20.36363636,20.16117216,0,0,12.22247191,0,0,0,36.54756219,33.05332569,21.04292169,0,0,40.68930041,17.98758621,0,,20.00467617,0,15.61523438,0,0,0,0,5/8/07,56.32
